Code_dot,Code_iata,City_name,Airport_name
16503.0,ME2,"Islesboro, ME",Islesboro Airport
16540.0,ME3,"Belfast, ME",Belfast Municipal
16553.0,ME4,"Oxford, ME",Oxford County Regional
16627.0,ME5,"Bethel, ME",Bethel Regional
16633.0,ME6,"Bethel2, ME",Cole Dyke
16736.0,ME7,"Stonington, ME",Stonington Municipal
16903.0,ME8,"Eastport, ME",Eastport Municipal
16937.0,ME9,"Greenville, ME",Greenville Municipal
13237.0,MEA,"Macae, Brazil",Macae Airport
13238.0,MEB,"Melbourne, Australia",Essendon
13239.0,MEC,"Manta, Ecuador",Eloy Alfaro International
13240.0,MED,"Medina, Saudi Arabia",Prince Mohammad Bin Abdulaziz International
13241.0,MEI,"Meridian, MS",Key Field
13242.0,MEJ,"Meadville, PA",Port Meadville
13243.0,MEL,"Melbourne, Australia",Melbourne International
13244.0,MEM,"Memphis, TN",Memphis International
13245.0,MEN,"Mende, France",Mende Brenoux
13246.0,MEO,"Manteo, NC",Dare County Regional
13247.0,MEP,"Mersing, Malaysia",Mersing Malay.
13248.0,MEQ,"Meulaboh, Indonesia",Seunagan
13249.0,MER,"Atwater, CA",Castle
13250.0,MES,"Medan, Indonesia",Polonia
13251.0,MEV,"Minden, NV",Minden-Tahoe
13252.0,MEX,"Mexico City, Mexico",Mexico City International
13253.0,MEY,"Meghauli, Nepal",Meghauli Airport
13254.0,MFA,"Mafia Island, Tanzania",Mafia
13255.0,MFD,"Mansfield, OH",Mansfield Lahm Regional
13256.0,MFE,"Mission/McAllen/Edinburg, TX",McAllen International
13257.0,MFF,"Moanda, Gabon",Moanda Airport
13258.0,MFG,"Muzaffarabad, Pakistan",Muzaffarabad Airport
13259.0,MFH,"Mesquite, NV",Mesquite Airport
13260.0,MFI,"Marshfield, WI",Marshfield Municipal
13261.0,MFM,"Macau, Macau",Macau International
13262.0,MFN,"Milford Sound, New Zealand",Milford Sound Airport
13263.0,MFQ,"Maradi, Niger",Maradi Airport
13264.0,MFR,"Medford, OR",Rogue Valley International - Medford
13265.0,MFS,"Miraflores, Colombia",Miraflores Airport
13266.0,MFT,"Fort Worth, TX",Mangham Field
13267.0,MFU,"Mfuwe, Zambia",Mfuwe Airport
13268.0,MFV,"Melfa, VA",Accomack County
13269.0,MGA,"Managua, Nicaragua",Augusto Cesar Sandino International
13270.0,MGB,"Mount Gambier, Australia",Mount Gambier Airport
13271.0,MGC,"Michigan City, IN",Michigan City Municipal Phillips Field
13272.0,MGD,"Magdalena, Bolivia",Magdalena Airport
