play_id,game_id,team_id_for,team_id_against,event,period,periodType,periodTime,dateTime,goals_away,goals_home,description,eventTime,on_ice_for
2014020053_177,2014020053,6.0,8.0,Goal,2,REGULAR,691,2014-10-17 02:06:06,3,2,"Loui Eriksson (2) Tip-In, assists: Torey Krug (1), Chris Kelly (3)",1891,"[8471262, 8467967, 8476191, 8470626, 8476792]"
2014020053_209,2014020053,8.0,6.0,Goal,2,REGULAR,1091,2014-10-17 02:20:55,3,3,"Jiri Sekac (1) Wrist Shot, assists: Rene Bourque (1), Jarred Tinordi (2)",2291,"[8474189, 8471504, 8478137, 8475797, 8468478]"
2014020053_214,2014020053,8.0,6.0,Goal,2,REGULAR,1176,2014-10-17 02:23:03,3,4,"PA Parenteau (1) Snap Shot, assists: Tomas Plekanec (2), Alexei Emelin (3)",2376,"[8471296, 8476851, 8469707, 8474056, 8469521]"
2014020053_262,2014020053,8.0,6.0,Goal,3,REGULAR,437,2014-10-17 02:56:08,3,5,"Brendan Gallagher (3) Tip-In, assists: Max Pacioretty (2), Alexei Emelin (4)",2837,"[8474157, 8475848, 8471976, 8471296, 8474056]"
2014020053_307,2014020053,6.0,8.0,Goal,3,REGULAR,851,2014-10-17 03:12:13,4,5,"Simon Gagne (1) Tip-In, assists: Milan Lucic (2), David Krejci (2)",3251,"[8471717, 8471276, 8473473, 8467346, 8476792]"
2014020053_325,2014020053,8.0,6.0,Goal,3,REGULAR,1180,2014-10-17 03:23:12,4,6,"PA Parenteau (2) Backhand, assists: Alex Galchenyuk (3), Tomas Plekanec (3)",3580,"[8476851, 8467496, 8474056, 8469707, 8469521]"
2014020601_55,2014020601,19.0,28.0,Goal,1,REGULAR,638,2015-01-09 01:25:11,0,1,"Alexander Steen (11) Wrist Shot, assists: Vladimir Tarasenko (20), Jaden Schwartz (18)",638,"[8474565, 8475768, 8474627, 8475765, 8470257]"
2014020601_79,2014020601,19.0,28.0,Goal,1,REGULAR,906,2015-01-09 01:34:24,0,2,"Jay Bouwmeester (2) Wrist Shot, assists: Vladimir Tarasenko (21), Jori Lehtera (19)",906,"[8475768, 8474627, 8475765, 8474565, 8470151]"
2014020601_96,2014020601,28.0,19.0,Goal,1,REGULAR,1107,2015-01-09 01:42:14,1,2,"Logan Couture (15) Wrist Shot, assists: Brenden Dillon (6)",1107,"[8475455, 8474027, 8474053, 8474739]"
2014020601_99,2014020601,19.0,28.0,Goal,1,REGULAR,1146,2015-01-09 01:43:28,1,3,"Paul Stastny (9) Wrist Shot, assists: T.J. Oshie (14), Kevin Shattenkirk (29)",1146,"[8470257, 8470655, 8474031, 8471669, 8471698]"
2014020601_113,2014020601,28.0,19.0,Goal,2,REGULAR,29,2015-01-09 02:04:51,2,3,"Melker Karlsson (5) Wrist Shot, assists: Logan Couture (21), Brent Burns (23)",1229,"[8470613, 8474053, 8471709, 8470794, 8477922]"
2014020601_155,2014020601,19.0,28.0,Goal,2,REGULAR,532,2015-01-09 02:21:09,2,4,"Jori Lehtera (9) Slap Shot, assists: Jaden Schwartz (19)",1732,"[8475768, 8474627, 8475765, 8474125, 8471761]"
2014020601_176,2014020601,19.0,28.0,Goal,2,REGULAR,800,2015-01-09 02:30:07,2,5,"T.J. Oshie (11) Wrist Shot, assists: Alexander Steen (22), David Backes (11)",2000,"[8474565, 8470257, 8470655, 8470151, 8471698]"
2014020601_240,2014020601,19.0,28.0,Goal,3,REGULAR,545,2015-01-09 03:13:39,2,6,"Patrik Berglund (5) Wrap-around, assists: Paul Stastny (14)",2945,"[8470151, 8474565, 8476436, 8473534, 8471669]"
