id,degree
 8475906,292
 8470622,160
 8476919,72
 8476798,24
8476279,20
 8471274,246
8476116,15
8475598,8
 8474134,216
 8470358,105
 8477500,82
 8471498,168
 8476854,364
 8467400,306
8470144,130
 8474612,260
8470054,19
 8474716,191
8474094,4
 8475169,118
8471794,112
 8470318,185
8470619,25
 8474717,102
8473507,24
8475744,93
 8468208,257
 8471702,300
 8473991,221
 8475149,276
8475149,99
 8473563,455
 8471426,384
 8471214,246
 8474590,385
8476851,190
 8476470,99
 8469707,148
8467496,142
 8474668,125
8471214,261
 8471185,81
8475848,68
 8467496,316
8474628,24
 8476451,24
8476887,123
8468501,36
 8475714,69
 8474569,166
8475209,15
 8475172,226
 8471742,161
 8470602,299
8471742,187
8477902,33
 8467338,130
8473465,25
8473548,32
 8471390,198
 8475180,150
 8475209,90
 8471392,126
 8470180,28
 8468700,81
8475176,24
8470281,83
8471254,40
 8476381,174
8466148,28
8471707,31
8475182,73
 8471254,162
 8476438,222
 8475747,43
 8475236,182
 8476279,107
 8471675,412
 8474102,184
 8469555,150
8476456,36
 8465185,179
8471283,59
 8474688,32
 8467334,28
 8477455,47
 8475760,195
 8475204,72
8475754,156
 8475177,152
8477205,75
 8470187,337
 8474573,250
8466142,34
8476292,52
 8477591,132
8469770,188
 8470201,283
8474052,36
 8469476,120
8475184,183
 8476468,170
 8475692,298
 8471958,266
 8474151,405
 8474613,284
 8470630,208
 8466378,320
8468674,45
8468513,28
 8473584,95
 8477290,155
8471729,26
8475784,33
 8468639,112
8476459,32
 8474884,254
 8467493,20
8470120,80
 8474584,209
8471498,34
 8474579,200
 8473432,128
8475770,24
 8470775,118
8469465,40
 8475178,96
 8467875,287
 8467876,373
 8477448,94
8471436,33
 8477407,16
 8470740,174
 8471686,253
8474774,28
8471766,16
8477407,16
 8475186,100
 8470041,402
 8474125,126
 8476807,40
 8475775,53
8476436,36
8474627,47
8474565,127
 8476436,100
8471276,76
 8473419,129
 8471276,116
8467967,19
8474884,36
 8476472,139
 8472424,16
 8477508,63
8474068,56
8467493,33
8473588,23
 8475163,65
 8473468,141
 8474727,48
 8469665,193
 8471769,282
8473604,112
8475759,28
8470159,66
 8473647,4
 8476432,52
 8470803,119
8469619,56
 8475902,52
8470169,9
8476792,50
8475798,35
 8476235,129
 8465951,43
 8475613,109
 8473646,51
8470852,68
 8470729,52
 8475728,72
 8474581,166
 8475295,15
 8470152,36
 8475119,24
8471266,35
 8473463,94
 8473942,44
 8471236,80
8474589,16
 8473426,75
8474037,91
 8476853,202
8476885,38
8474141,11
8471840,8
 8475287,44
 8476463,256
 8475191,234
 8476191,99
8464977,47
 8469623,277
 8472410,75
8469500,32
8448208,35
 8475274,39
8474573,28
 8476458,304
8474659,12
 8475231,77
8467875,94
 8468085,306
 8475598,121
8474579,36
8476482,4
 8471303,221
 8470755,64
 8475690,217
8467330,55
 8471676,166
 8475174,122
 8464956,77
8475174,23
8475246,15
8469466,115
 8476467,83
8474849,64
8477505,95
 8473914,55
